"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
snake_name,snake_data,,dropdown,"Common name","1, Adder|2, Aesculapian sname|3, Anaconda|4, Arafura file snake|5, Asp|6, Ball python|7, Bird snake|8, Blind snake|9, Boa|10, Boiga|11, Boomslang|12, Brown snake|13, Bull snake|14, Bushmaster|15, Dwarf beaked snake|16, Rufous beaked snake|17, Canebreak|18, Cantil|19, Cascabel|20, Cascavel|21, Cat-eyed snake|22, Cat snake|23, Chicken snake|24, Coachwhip snake|25, Cobra|26, Collett's snake|27, Congo snake|28, Copperhead|29, Coral snake|30, Corn snake|31, Cottonmpouth|32, Crowned snake|33, Cuban wood snake|34, Eastern hognose snake|35, Egg-eater|36, Eyelash viper|37, Eastern coral snake|38, Fer-de-lance|39, Fierce snake|40, Fishing snake|41, Flying snake|42, Fox snake|43, Forest flame snake|44, Garter snake|45, Glossy snake|46, Gopher snake|47, Grass snake|48, Ground snake|49, Habu|50, Harlequin snake|51, Herald snake|52, Hognose snake|53, Hoop snake|54, Hundred pacer|55, Ikaheka snake|56, Indigo snake|57, Jamaican snake|58, Jararacussu|59, Keelback|60, King brown|61, King cobra|62, King snake|63, Krait|64, Large shield snake|65, Lancehead|66, Lora|67, Lyre snake|68, Machete savane|69, Mamba|70, Mamushi|71, Mangrove snake|72, Milk snake|73, Mangrove snake|74, Milk snake|75, Mocassin snake|76, Montpellier snake|77, Mud snake|78, Mussurana|79, Night snake|80, Parrot snake|81, Patchnose snake|82, Perrotet's shieldtail snake|83, Pine snake|84, Pipe snake|85, Python|86, Queen snake|87, Racer|88, Raddysnake|89, Rat snake|90, Rattlesnake|91, Ribbon snake|92, Rinkhals|93, River jack|94, Sea snake|95, Scott Shields Barrows Deadliest snake|96, Shield-tailed snake|97, Sidewinder|98, Small-eyed snake|99, Smooth snake|100, Sonoran|101, Stiletto snake|102, Striped snake|103, Sunbeam snake|104, Taipan|105, Tentacled snake|106, Tic polonga|107, Tiger snake|108, Tigre snake|109, Tree snake|110, Trinket snake|111, Twig snake|112, Twin headed King snake|113, Titanboa|114, Urutu|115, Vine snake|116, Viper|117, Wart snake|118, Water moccasin|119, Water snake|120, Whip snake|121, Wolf snake|122, Worm snake|123, Wutu|124, Xanlder|125, Yarara|126, Zebra snake",,,,,,,,,,,,
snake_diet,snake_data,,radio,"Main diet","1, Insects|2, Rodents|3, Birds|4, Frogs|5, Mammals|6, Reptiles|7, Eggs",,,,,,,,,,,,
snake_habitat,snake_data,,radio,"Main habitat","1, Water|2, Forest|3, Desert|4, Prarie",,,,,,,,,,,,
wing_span,butterfly_data,,text,"Wing span (cm)",,,number,,,,,,,,,,
migration,butterfly_data,,text,"Migration range (miles)",,,number,,,,,,,,,,
butterfly_family,butterfly_data,,radio,Family,"1, Hedylidae|2, Hesperildae|3, Lycaenidae|4, Nymphalidae|5, Papilionidae|6, Pieridae|7, Riodinidae",,,,,,,,,,,,
butterfly_type,butterfly_data,,radio,"Type of butterfly","1, American Snout|2, Blue Morpho|3, California Dogface|4, Garden Tiger|5, Goliath Birdwing|6, Julia|7, Karner Blue|8, Milbert's Tortoiseshell|9, Monarch|10, Mourning Cloak|11, Painted Lady|12, Peacock|13, Postman Butterfly|14, Queen Alexandra's Birdwing|15, Red Admiral|16, Saturn|17, Southern Dogface|18, Summer Azure|19, Tiger Swallowtail|20, Ulysses|21, Viceroy|22, Zebra Swallowtail",,,,,,,,,,,,
butterfly_diet,butterfly_data,,radio,"Main diet","1, Flower nectar|2, Rotting fruit|3, Rotting animal flesh|4, Animal fluids",,,,,,,,,,,,
butterfly_colors,butterfly_data,,checkbox,"Main colors","1, Red|2, Orange|3, Yellow|4, Green|5, Blue|6, Purple|7, Aqua|8, White|9, Black",,,,,,,,,,,,
parrot_height,parrot_data,,text,"Height (cm)",,,number,,,,,,,,,,
parrot_wing_span,parrot_data,,text,"Wing span (cm)",,,number,,,,,,,,,,
parrot_type,parrot_data,,radio,"Type of parrot","1, Cockatiels|2, Lovebirds|3, Small parakeets|4, Parrotlets|5, Caiques|6, Small conures|7, Lories|8, Lorikeets|9, Large parakeets|10, Pionus parrots|11, Poicephalus|12, African greys|13, Amazons|14, Small cockatoos|15, Large conures|16, Eclectus|17, Hawk headed parrots|18, Mini-macaws|19, Large cockatoos|20, Macaws",,,,,,,,,,,,
parrot_colors,parrot_data,,checkbox,"Main color(s)","1, Red|2, Orange|3, Yellow|4, Green|5, Blue|6, Purple|7, Grey|8, White",,,,,,,,,,,,
rut,maleonly_form,,yesno,"In rut?",,,,,,,,,,,,,
gravid,femaleonly_form,,yesno,"Pregnant or Gravid",,,,,,,,,,,,,
estrus,femaleonly_form,,yesno,"In Estrus?",,,,,,,,,,,,,
big,big_critters,,descriptive,"A form for big critters",,,,,,,,,,,,,
small,small_critters,,descriptive,"A form for small critters",,,,,,,,,,,,,
